operation_type,cdc_timestamp,batch_date,transaction_id,property_id,listing_id,seller_agent_id,buyer_agent_id,buyer_name,sale_price,sale_date,closing_date,financing_type,down_payment_pct,commission_rate_pct,commission_amount,title_company,transaction_status
INSERT,2026-07-13T00:00:00,2026-07-13,TXN0231345,PT0284381,LST0284381,AG02209,AG02279,Kim Mendoza,134339.94,2026-07-13,2026-08-02,VA Loan,18.4,5.99,8046.96,WFG National Title,Completed
INSERT,2026-07-13T00:00:00,2026-07-13,TXN0231346,PT0168852,LST0168852,AG02772,AG00161,Jennifer Smith,378849.97,2026-07-13,2026-09-04,Cash,100.0,5.72,21670.22,Chicago Title,Completed
INSERT,2026-07-13T00:00:00,2026-07-13,TXN0231347,PT0158353,LST0158353,AG02602,AG01685,Lynn Thornton,463357.71,2026-07-13,2026-08-29,VA Loan,13.9,4.85,22472.85,Stewart Title,Completed
INSERT,2026-07-13T00:00:00,2026-07-13,TXN0231348,PT0188893,LST0188893,AG00636,AG02873,Sarah Ramos,319210.79,2026-07-13,2026-09-10,Conventional Mortgage,8.9,6.14,19599.54,First American Title,Completed
INSERT,2026-07-13T00:00:00,2026-07-13,TXN0231349,PT0322261,LST0322261,AG02362,AG01878,Lori Peck,416252.06,2026-07-13,2026-08-25,FHA Loan,24.3,6.16,25641.13,WFG National Title,Completed
INSERT,2026-07-13T00:00:00,2026-07-13,TXN0231350,PT0485325,LST0485325,AG02296,AG01035,Isaac Gallegos,243421.59,2026-07-13,2026-08-23,Conventional Mortgage,19.1,5.77,14045.43,Stewart Title,Completed
INSERT,2026-07-13T00:00:00,2026-07-13,TXN0231351,PT0243277,LST0243277,AG01895,AG00895,Lori Wilson,880565.36,2026-07-13,2026-08-25,VA Loan,8.2,6.44,56708.41,Chicago Title,Completed
INSERT,2026-07-13T00:00:00,2026-07-13,TXN0231352,PT0363601,LST0363601,AG02967,AG01936,Christian Smith,1322311.15,2026-07-13,2026-08-26,Jumbo Loan,8.2,6.28,83041.14,Fidelity National Title,Completed
INSERT,2026-07-13T00:00:00,2026-07-13,TXN0231353,PT0064909,LST0064909,AG00256,AG02782,Peter Fowler,479358.24,2026-07-13,2026-09-09,Conventional Mortgage,8.4,6.28,30103.7,First American Title,Completed
INSERT,2026-07-13T00:00:00,2026-07-13,TXN0231354,PT0099640,LST0099640,AG02194,AG00134,Krista Alvarado,668386.31,2026-07-13,2026-08-03,FHA Loan,15.3,6.39,42709.89,Chicago Title,Completed
