operation_type,cdc_timestamp,batch_date,transaction_id,property_id,listing_id,seller_agent_id,buyer_agent_id,buyer_name,sale_price,sale_date,closing_date,financing_type,down_payment_pct,commission_rate_pct,commission_amount,title_company,transaction_status
INSERT,2026-08-11T00:00:00,2026-08-11,TXN0250074,PT0106269,LST0106269,AG02004,AG02974,Joseph Nguyen,104823.82,2026-08-11,2026-09-18,FHA Loan,24.5,6.26,6561.97,Chicago Title,Completed
INSERT,2026-08-11T00:00:00,2026-08-11,TXN0250075,PT0214741,LST0214741,AG01668,AG01649,Kimberly Lopez,395607.24,2026-08-11,2026-09-23,FHA Loan,16.2,5.92,23419.95,WFG National Title,Completed
INSERT,2026-08-11T00:00:00,2026-08-11,TXN0250076,PT0504122,LST0504122,AG01217,AG01715,Stephanie Miller,25949.89,2026-08-11,2026-09-20,Conventional Mortgage,9.8,4.72,1224.83,Old Republic Title,Completed
INSERT,2026-08-11T00:00:00,2026-08-11,TXN0250077,PT0176939,LST0176939,AG02024,AG00451,Amy Williams,84715.84,2026-08-11,2026-09-17,Cash,100.0,5.24,4439.11,First American Title,Completed
INSERT,2026-08-11T00:00:00,2026-08-11,TXN0250078,PT0217472,LST0217472,AG00932,AG00122,Ann Porter,899117.66,2026-08-11,2026-09-01,VA Loan,20.0,5.51,49541.38,Old Republic Title,Completed
INSERT,2026-08-11T00:00:00,2026-08-11,TXN0250079,PT0368010,LST0368010,AG02269,AG01128,David James,944341.85,2026-08-11,2026-09-30,Jumbo Loan,16.9,4.52,42684.25,Stewart Title,Completed
INSERT,2026-08-11T00:00:00,2026-08-11,TXN0250080,PT0456864,LST0456864,AG02106,AG02088,Abigail Atkins,593970.19,2026-08-11,2026-08-27,Cash,100.0,4.5,26728.66,Chicago Title,Completed
INSERT,2026-08-11T00:00:00,2026-08-11,TXN0250081,PT0039775,LST0039775,AG02303,AG01805,Charles Holmes,552582.9,2026-08-11,2026-09-25,Conventional Mortgage,14.6,6.43,35531.08,Chicago Title,Completed
INSERT,2026-08-11T00:00:00,2026-08-11,TXN0250082,PT0364730,LST0364730,AG01517,AG00891,Mario Thomas,427472.12,2026-08-11,2026-09-21,Cash,100.0,5.25,22442.29,Chicago Title,Completed
INSERT,2026-08-11T00:00:00,2026-08-11,TXN0250083,PT0098705,LST0098705,AG01674,AG02394,Bryan Lee,538224.06,2026-08-11,2026-09-27,VA Loan,16.0,5.18,27880.01,First American Title,Completed
INSERT,2026-08-11T00:00:00,2026-08-11,TXN0250084,PT0249013,LST0249013,AG02599,AG02125,Matthew Jackson,612750.09,2026-08-11,2026-09-09,Jumbo Loan,17.6,6.44,39461.11,Fidelity National Title,Completed
INSERT,2026-08-11T00:00:00,2026-08-11,TXN0250085,PT0123706,LST0123706,AG00497,AG02804,Cory Herrera,458327.77,2026-08-11,2026-08-28,Cash,100.0,5.44,24933.03,Old Republic Title,Completed
INSERT,2026-08-11T00:00:00,2026-08-11,TXN0250086,PT0116906,LST0116906,AG01607,AG01801,Jeremy Mercado,560904.47,2026-08-11,2026-09-01,Cash,100.0,5.99,33598.18,Stewart Title,Completed
INSERT,2026-08-11T00:00:00,2026-08-11,TXN0250087,PT0231007,LST0231007,AG00748,AG01061,Christine Kelly,470575.59,2026-08-11,2026-09-26,Conventional Mortgage,12.9,5.09,23952.3,Chicago Title,Completed
INSERT,2026-08-11T00:00:00,2026-08-11,TXN0250088,PT0268597,LST0268597,AG00876,AG02232,Alejandro Newton,605842.4,2026-08-11,2026-09-27,Conventional Mortgage,8.0,5.71,34593.6,First American Title,Completed
