operation_type,cdc_timestamp,batch_date,transaction_id,property_id,listing_id,seller_agent_id,buyer_agent_id,buyer_name,sale_price,sale_date,closing_date,financing_type,down_payment_pct,commission_rate_pct,commission_amount,title_company,transaction_status
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233536,PT0487121,LST0487121,AG01398,AG02061,Kelsey King,311685.75,2026-07-16,2026-08-10,VA Loan,11.9,5.92,18451.8,WFG National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233537,PT0235022,LST0235022,AG02769,AG00561,Taylor Everett,453492.0,2026-07-16,2026-08-21,Cash,100.0,6.26,28388.6,WFG National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233538,PT0274527,LST0274527,AG02978,AG01261,Janet Stanton,191633.76,2026-07-16,2026-08-06,Jumbo Loan,24.8,6.13,11747.15,Fidelity National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233539,PT0292773,LST0292773,AG00919,AG02728,John Black,405416.6,2026-07-16,2026-08-29,FHA Loan,5.1,5.47,22176.29,Fidelity National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233540,PT0175900,LST0175900,AG02664,AG00427,Caitlyn Jensen,272969.19,2026-07-16,2026-09-07,VA Loan,23.4,5.18,14139.8,Fidelity National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233541,PT0055521,LST0055521,AG02482,AG02049,Bethany Burns,1127205.4,2026-07-16,2026-08-25,Jumbo Loan,25.0,5.33,60080.05,Fidelity National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233542,PT0221742,LST0221742,AG02269,AG02661,Carolyn Jones,566237.46,2026-07-16,2026-09-04,Jumbo Loan,11.5,6.47,36635.56,WFG National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233543,PT0328374,LST0328374,AG00246,AG02187,Aaron Kelly,44741.1,2026-07-16,2026-08-19,Conventional Mortgage,3.6,5.38,2407.07,First American Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233544,PT0454018,LST0454018,AG01774,AG00080,Daniel Williams,436755.68,2026-07-16,2026-09-10,FHA Loan,12.0,5.97,26074.31,Stewart Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233545,PT0361897,LST0361897,AG02119,AG02389,Michael Smith,860304.47,2026-07-16,2026-08-05,Conventional Mortgage,24.1,6.28,54027.12,Stewart Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233546,PT0421698,LST0421698,AG02576,AG00443,Evan Short,159740.23,2026-07-16,2026-09-09,FHA Loan,12.4,4.77,7619.61,Old Republic Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233547,PT0256405,LST0256405,AG00122,AG00691,Taylor Cox,759237.54,2026-07-16,2026-09-02,Jumbo Loan,11.0,4.86,36898.94,WFG National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233548,PT0111236,LST0111236,AG02809,AG01271,Mackenzie Jenkins,448915.22,2026-07-16,2026-08-07,FHA Loan,20.3,5.7,25588.17,WFG National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233549,PT0058891,LST0058891,AG00109,AG02063,Theresa Allen,219492.02,2026-07-16,2026-07-31,Conventional Mortgage,7.2,5.62,12335.45,Fidelity National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233550,PT0181116,LST0181116,AG00563,AG00477,Sherry Hess,666540.93,2026-07-16,2026-09-08,Conventional Mortgage,23.4,4.53,30194.3,Chicago Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233551,PT0124627,LST0124627,AG00910,AG00348,Patrick Wilson,456811.86,2026-07-16,2026-08-26,Conventional Mortgage,22.9,5.41,24713.52,Fidelity National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233552,PT0150638,LST0150638,AG02825,AG00069,Michael Reynolds,503647.62,2026-07-16,2026-08-23,Conventional Mortgage,21.9,5.62,28305.0,Fidelity National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233553,PT0382010,LST0382010,AG01081,AG01957,Nicole Patton,623864.5,2026-07-16,2026-08-07,Cash,100.0,4.73,29508.79,Fidelity National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233554,PT0299577,LST0299577,AG01441,AG00471,Kenneth Becker,166844.67,2026-07-16,2026-08-12,FHA Loan,6.5,5.43,9059.67,First American Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233555,PT0112177,LST0112177,AG01327,AG01873,Natalie Garcia,167382.68,2026-07-16,2026-08-13,Conventional Mortgage,3.4,6.18,10344.25,First American Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233556,PT0366414,LST0366414,AG00609,AG00612,Christopher Cooper,4923050.92,2026-07-16,2026-08-06,Cash,100.0,5.63,277167.77,Fidelity National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233557,PT0166387,LST0166387,AG02855,AG02043,Jacqueline Melton,1330771.94,2026-07-16,2026-09-13,Cash,100.0,5.27,70131.68,Chicago Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233558,PT0508529,LST0508529,AG01069,AG02018,Jermaine Powell,357498.12,2026-07-16,2026-08-09,VA Loan,4.7,6.08,21735.89,Stewart Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233559,PT0242702,LST0242702,AG00684,AG00765,Ms. Tiffany Smith,1052560.26,2026-07-16,2026-08-03,VA Loan,3.8,5.42,57048.77,Old Republic Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233560,PT0277506,LST0277506,AG02585,AG02832,Sara White,69644.18,2026-07-16,2026-08-08,Conventional Mortgage,18.0,5.95,4143.83,Fidelity National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233561,PT0356113,LST0356113,AG02811,AG00936,Amber Mckenzie,171022.68,2026-07-16,2026-08-06,VA Loan,9.2,4.7,8038.07,Stewart Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233562,PT0377178,LST0377178,AG01884,AG00347,Tammy Carter,287200.83,2026-07-16,2026-08-18,FHA Loan,22.6,4.74,13613.32,First American Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233563,PT0175262,LST0175262,AG01737,AG00200,Erica Fuentes,3058295.19,2026-07-16,2026-08-14,Conventional Mortgage,19.0,4.55,139152.43,WFG National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233564,PT0051910,LST0051910,AG02031,AG01002,James Harris,151701.7,2026-07-16,2026-09-13,Conventional Mortgage,8.3,4.97,7539.57,Old Republic Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233565,PT0059399,LST0059399,AG01481,AG01986,Brian Wolf,353594.85,2026-07-16,2026-09-09,Conventional Mortgage,7.6,4.51,15947.13,Chicago Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233566,PT0094422,LST0094422,AG01737,AG01227,Rebecca Becker,544600.49,2026-07-16,2026-08-22,Cash,100.0,6.03,32839.41,WFG National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233567,PT0466544,LST0466544,AG00809,AG02602,Lisa Cline,204015.01,2026-07-16,2026-08-23,Cash,100.0,5.5,11220.83,Chicago Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233568,PT0279814,LST0279814,AG00754,AG01829,Ms. Jennifer Baker MD,800060.07,2026-07-16,2026-07-31,FHA Loan,18.2,5.32,42563.2,Chicago Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233569,PT0288978,LST0288978,AG02999,AG01033,Greg Thompson,488368.58,2026-07-16,2026-08-10,Jumbo Loan,16.1,5.4,26371.9,Fidelity National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233570,PT0081215,LST0081215,AG00303,AG01225,Pamela Marshall,345717.8,2026-07-16,2026-08-29,Conventional Mortgage,15.2,5.3,18323.04,Chicago Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233571,PT0193523,LST0193523,AG01841,AG00093,Dillon Crosby,716769.45,2026-07-16,2026-08-03,Conventional Mortgage,12.3,6.41,45944.92,Chicago Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233572,PT0330041,LST0330041,AG00771,AG01741,Mary Martinez,527693.68,2026-07-16,2026-08-14,Cash,100.0,6.39,33719.63,Stewart Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233573,PT0425266,LST0425266,AG01442,AG00389,Samuel Smith,627646.47,2026-07-16,2026-08-05,Conventional Mortgage,8.6,5.46,34269.5,WFG National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233574,PT0105813,LST0105813,AG00761,AG02000,Lisa Hogan,917091.48,2026-07-16,2026-08-07,Cash,100.0,5.23,47963.88,Old Republic Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233575,PT0438968,LST0438968,AG02751,AG00674,Alexander Cruz,356138.24,2026-07-16,2026-08-15,VA Loan,10.1,5.73,20406.72,First American Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233576,PT0212372,LST0212372,AG00953,AG02463,Tracy Brown,690596.28,2026-07-16,2026-08-04,FHA Loan,23.9,6.07,41919.19,Chicago Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233577,PT0054585,LST0054585,AG01657,AG01382,Thomas Chambers,406348.1,2026-07-16,2026-08-15,Cash,100.0,5.15,20926.93,Fidelity National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233578,PT0246913,LST0246913,AG02648,AG01568,Caitlin Walsh,338025.42,2026-07-16,2026-08-30,Cash,100.0,6.13,20720.96,Chicago Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233579,PT0140536,LST0140536,AG02211,AG02198,John Kaufman,488238.29,2026-07-16,2026-08-14,FHA Loan,19.0,5.85,28561.94,Chicago Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233580,PT0472305,LST0472305,AG00094,AG01531,Jeremy Williams,496464.65,2026-07-16,2026-09-02,Conventional Mortgage,7.8,5.89,29241.77,Chicago Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233581,PT0348014,LST0348014,AG01091,AG01172,Nicole Norris,318322.24,2026-07-16,2026-09-10,FHA Loan,12.3,5.86,18653.68,Old Republic Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233582,PT0272167,LST0272167,AG00806,AG00092,Austin Rollins,758355.63,2026-07-16,2026-08-12,Conventional Mortgage,10.6,5.28,40041.18,WFG National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233583,PT0046066,LST0046066,AG01014,AG00819,Paul Harris,854835.68,2026-07-16,2026-08-17,Conventional Mortgage,7.4,6.38,54538.52,First American Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233584,PT0351309,LST0351309,AG00007,AG02219,Marie Stokes,178502.8,2026-07-16,2026-08-10,FHA Loan,10.3,6.16,10995.77,Stewart Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233585,PT0430074,LST0430074,AG00251,AG00127,Daniel Aguirre,185913.04,2026-07-16,2026-08-06,Cash,100.0,4.84,8998.19,Chicago Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233586,PT0087493,LST0087493,AG02610,AG01151,Cynthia Harrison,387362.49,2026-07-16,2026-09-09,Jumbo Loan,16.3,6.27,24287.63,Fidelity National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233587,PT0082484,LST0082484,AG02280,AG00824,Gabrielle Glover,826361.91,2026-07-16,2026-09-07,Conventional Mortgage,8.3,6.34,52391.35,WFG National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233588,PT0369941,LST0369941,AG02705,AG01044,Michelle Pham,458667.84,2026-07-16,2026-08-08,FHA Loan,3.4,6.2,28437.41,WFG National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233589,PT0077606,LST0077606,AG01699,AG00472,Daniel Baker,190321.75,2026-07-16,2026-08-17,FHA Loan,17.5,6.49,12351.88,Chicago Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233590,PT0240483,LST0240483,AG02725,AG02715,Ralph Hardin,493654.44,2026-07-16,2026-09-11,Cash,100.0,5.72,28237.03,First American Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233591,PT0292779,LST0292779,AG01322,AG02860,Katie Mitchell,2023859.01,2026-07-16,2026-08-11,Conventional Mortgage,21.7,6.39,129324.59,WFG National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233592,PT0233760,LST0233760,AG02207,AG02751,Cynthia Miller,326221.08,2026-07-16,2026-08-31,Conventional Mortgage,18.8,5.7,18594.6,Stewart Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233593,PT0172927,LST0172927,AG00875,AG02280,James Walker,2056523.32,2026-07-16,2026-09-01,Conventional Mortgage,11.8,5.37,110435.3,Chicago Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233594,PT0126435,LST0126435,AG01354,AG01497,Joshua Williams,227296.49,2026-07-16,2026-09-13,Conventional Mortgage,22.1,5.1,11592.12,WFG National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233595,PT0022437,LST0022437,AG00813,AG00080,Mitchell Hood,195962.45,2026-07-16,2026-08-30,Conventional Mortgage,23.8,6.19,12130.08,WFG National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233596,PT0423973,LST0423973,AG01546,AG01930,Derek Robinson,385604.54,2026-07-16,2026-08-11,Conventional Mortgage,23.8,5.19,20012.88,Stewart Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233597,PT0019846,LST0019846,AG00960,AG01167,Michele Martinez,536303.46,2026-07-16,2026-09-06,Conventional Mortgage,8.0,5.64,30247.52,First American Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233598,PT0042823,LST0042823,AG01692,AG00151,Charles Ward,1584592.99,2026-07-16,2026-09-02,VA Loan,16.4,5.28,83666.51,First American Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233599,PT0459324,LST0459324,AG01506,AG01547,Jeremiah Curtis,395360.35,2026-07-16,2026-08-04,FHA Loan,9.3,5.6,22140.18,Old Republic Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233600,PT0410092,LST0410092,AG01423,AG02998,Annette Callahan,220164.19,2026-07-16,2026-08-27,FHA Loan,17.4,5.52,12153.06,Fidelity National Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233601,PT0457823,LST0457823,AG02787,AG02815,Michael Brady,783069.87,2026-07-16,2026-09-03,Conventional Mortgage,19.0,5.22,40876.25,First American Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233602,PT0221196,LST0221196,AG01419,AG00594,Brittney Huber,276298.49,2026-07-16,2026-07-31,Cash,100.0,5.8,16025.31,Stewart Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233603,PT0259818,LST0259818,AG00680,AG02777,Terry Beard,674669.27,2026-07-16,2026-07-31,Conventional Mortgage,9.3,5.21,35150.27,Old Republic Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233604,PT0360593,LST0360593,AG02465,AG02876,Brandi Keith,276267.84,2026-07-16,2026-08-25,FHA Loan,17.9,4.8,13260.86,First American Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233605,PT0000243,LST0000243,AG01268,AG00103,Joshua Lynch,216741.05,2026-07-16,2026-08-03,Jumbo Loan,23.2,5.96,12917.77,Old Republic Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233606,PT0511729,LST0511729,AG00572,AG01456,Miss Jennifer Ramsey,645379.29,2026-07-16,2026-08-03,Conventional Mortgage,23.6,6.06,39109.98,Chicago Title,Completed
INSERT,2026-07-16T00:00:00,2026-07-16,TXN0233607,PT0156486,LST0156486,AG02749,AG02691,Tracy Collier,346261.74,2026-07-16,2026-08-04,Cash,100.0,4.76,16482.06,Stewart Title,Completed
